1-12-2021;113;-123.456;xa
1-12-2021;112;-123.456;xb
1-12-2021;111;-123.456;xc
1-12-2021;120;-190.456;xd
1-12-2021;123;-11.456;xa
2-12-2021;123;-121.456;e
3-12-2021;123;-122.456;t
4-12-2021;123;-123.456;xt
5-12-2021;123;-123.456;xd
6-12-2021;123;-400.456;xs
7-12-2021;123;-254.456;x
8-12-2021;123;-154.456;xgb
9-12-2021;125;-144.456;xb
10-12-2021;124;-133.456;xb
11-12-2021;125;-133.456;xb
12-12-2021;124;-123.456;xb

13-12-2021;122;-123.456;xb
1-12-2021;123;-123.456;xb
1-12-2021;123;-123.456;xb
1-12-2021;123;-123.456;xb

